id,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11
168,-0.23315495,0.580901,-0.2633453,0.9122715,0.37635136,0.71549124,0.45803478,-0.0066150525,-0.4298639,0.36823073,0.08087579,-0.7894901
169,-0.11876835,0.45625502,-0.31009376,1.0588214,0.46395856,0.6386136,0.41707867,-0.08542016,-0.4445372,0.4216994,-0.09448272,-0.87424326
17,1.7421726,0.7907242,0.1606335,0.0023310268,0.3038084,0.9828938,0.40043184,-0.12628032,-1.0846809,0.63127106,0.33921096,-0.24912295
170,-0.11015858,0.7108842,-0.08812791,0.87780094,0.21330969,0.92729187,0.34249365,-0.047240857,-0.5137837,0.25964153,0.123326264,-0.8299161
171,0.17529435,0.6908255,0.35394388,0.75934863,-0.34040144,0.80267596,0.11307132,-0.18613762,-0.39715773,0.17905182,0.20866019,-0.59787947
172,0.2997163,0.5686685,0.5853673,0.6836832,-0.4603127,1.1265063,-0.011827007,-0.39901122,-0.29190293,-0.20551692,0.0071668634,-0.5666207
173,0.22099334,0.99097854,0.5538185,0.59441745,-0.47590435,1.3819581,0.13334633,-0.26654541,-0.35893115,-0.47760022,-0.13042785,-0.385578
174,0.37575477,0.746005,0.40735933,0.50885034,-0.28146747,1.3369123,0.1313013,-0.27498093,-0.23504901,-0.7749614,-0.4503017,-0.44644496
175,-0.003206335,0.89883566,0.2768029,0.62694925,-0.22432709,0.9127468,0.51219225,-0.23702931,-0.24464574,-0.47562686,-0.33564085,-0.46332818
176,-0.5266771,0.8974127,0.37824067,0.63226116,0.1493808,1.5819578,0.66783845,-0.31129983,-0.4879225,-0.42161176,0.052086897,-1.2082651
177,-0.4848419,0.8604037,-0.6708771,0.8708105,0.8118381,0.68703955,1.0946591,-0.127022,-0.3263117,-0.57221437,-0.80683976,-0.8848338
178,-0.5618262,0.8074191,-0.46846986,0.9714694,0.6772519,0.79295826,0.8334125,-0.08926959,-0.39111575,-0.14692506,-0.41513047,-0.67421377
179,-0.57279813,0.84909827,0.0067861043,0.78610444,0.107234634,0.8299225,0.66324645,-0.11572466,-0.49965847,-0.05097101,0.011653166,-0.5592139
18,1.4518394,0.9948271,0.52990043,0.039666284,0.25338,0.968319,0.71580374,-0.20352228,0.06375928,0.8172805,-0.12931529,-0.06640862
180,-0.36399502,0.76950896,0.31856522,0.75266343,-0.06770499,1.005943,0.33706805,-0.26523507,-0.28721783,-0.004009379,0.11000972,-0.5421161
181,0.37921098,-0.12899643,-0.81237364,0.15443443,-0.47819296,2.0411055,-0.49218446,-1.1338739,0.20827618,1.4748963,-1.1011996,-1.1600716
182,0.28918165,-0.34908372,-0.86097157,0.036480382,-0.4883034,2.0273697,-0.55428535,-1.0882403,0.26118985,1.3965884,-1.2269579,-1.3218817
183,0.42093492,-0.08814468,-0.7834902,0.098461896,-0.24516353,1.8970848,-0.20090583,-0.96225446,-0.093780965,1.436388,-1.2660834,-1.3493378
184,0.48525262,0.15791404,-0.52575904,0.29470295,-0.5350856,2.0371783,-0.55087537,-1.2873995,0.19188014,1.6253679,-1.0691416,-1.334519
185,0.39726448,-0.117031224,-1.1001993,0.042635515,-0.28735057,2.0802507,-0.39869547,-1.1320436,0.27511495,1.4589368,-1.4175408,-1.4698292
186,0.6626194,-0.34962845,-0.9262887,-0.12728311,-0.27514914,1.9820886,0.5020236,-1.0612934,-0.5624781,1.3238707,-1.1554658,-1.1120238
187,0.8331147,-0.09441006,-0.85468554,0.24713042,-0.4490925,1.9089373,0.34419668,-1.0864469,-0.58055216,1.0564924,-1.2683579,-0.65667784
